Student ID,UID,Time,Date
202422005,fd  b0  34  c5  ,11:47:31,2025-03-05
202411008,8d  10  42  c4  ,12:00:51,2025-03-05
202411018,7d  2f  04  c5  ,12:00:57,2025-03-05
202411016,ed  3d  35  c5  ,12:01:02,2025-03-05
202011158,f2  5d  b0  e5  ,12:01:09,2025-03-05
202411169,7d  e8  1b  c5  ,12:01:15,2025-03-05
202411005,ed  de  13  c5  ,12:01:20,2025-03-05
202211010,93  6f  5d  b5  ,12:01:25,2025-03-05
202211088,8b  a8  dc  4e  ,12:01:31,2025-03-05
202211001,63  59  61  b5  ,12:01:36,2025-03-05
202462028,0d  d0  03  c5  ,12:01:41,2025-03-05
202411108,0d  6e  28  c5  ,12:01:45,2025-03-05
202411136,9d  59  06  c5  ,12:01:54,2025-03-05
202411006,0d  07  0b  c5  ,12:02:00,2025-03-05
202411045,8d  59  2d  c5  ,12:02:04,2025-03-05
202211058,93  3b  63  b5  ,12:02:08,2025-03-05
202211157,2b  8f  46  4e  ,12:02:12,2025-03-05
202211089,db  11  20  4e  ,12:02:17,2025-03-05
202211185,5e  06  20  14  ,12:02:23,2025-03-05
202211042,13  9e  5d  b5  ,12:02:31,2025-03-05
202411030,5d  eb  2f  c5  ,12:02:38,2025-03-05
202462020,1d  ce  02  c5  ,12:02:44,2025-03-05
202311064,a7  df  c4  5c  ,12:02:49,2025-03-05
202311049,96  9a  33  04  ,12:02:54,2025-03-05
202311162,d7  55  88  5c  ,12:03:38,2025-03-05
202411151,0d  88  f5  c4  ,12:03:55,2025-03-05
202211008,33  f8  62  b5  ,12:04:00,2025-03-05
202311006,27  5a  c3  5c  ,12:50:12,2025-03-05
202411061,8d  5e  10  c5  ,12:50:20,2025-03-05
202211021,57  a1  c9  5c  ,12:50:31,2025-03-05
202411084,1d  24  f3  c4  ,12:50:35,2025-03-05
202411099,4d  15  fd  c4  ,12:50:39,2025-03-05
202411154,0d  14  2e  c4  ,12:50:45,2025-03-05
202111102,73  6f  5b  b5  ,12:50:51,2025-03-05
202211038,d3  e8  66  b5  ,12:50:59,2025-03-05
202211128,3b  d2  bb  4e  ,12:51:05,2025-03-05
202211120,ec  99  6f  dd  ,12:51:13,2025-03-05
202411126,ad  6a  0b  c5  ,12:51:19,2025-03-05
202411131,fd  fc  f2  c4  ,12:51:28,2025-03-05
202411048,bd  3e  14  c5  ,12:51:35,2025-03-05
202411003,4d  ff  f2  c4  ,12:51:41,2025-03-05
202411019,9d  b1  30  c5  ,12:51:57,2025-03-05
202411163,0d  ae  31  c5  ,12:52:02,2025-03-05
202211182,eb  50  ce  4d  ,12:52:07,2025-03-05
202211064,c3  b9  62  b5  ,12:52:12,2025-03-05
202462015,cd  73  32  c5  ,12:52:17,2025-03-05
202462026,4d  d9  21  c5  ,12:52:23,2025-03-05
202462010,2d  6e  0a  c5  ,12:52:29,2025-03-05
202411064,cc  a7  69  75  ,12:52:34,2025-03-05
202211138,eb  51  d3  4e  ,12:52:40,2025-03-05
202411128,dd  a3  3b  c4  ,12:52:46,2025-03-05
202111130,d3  3d  65  b5  ,12:52:51,2025-03-05
202211165,c6  92  31  04  ,12:52:56,2025-03-05
202411134,7d  dc  2b  c5  ,12:53:01,2025-03-05
202411134,7d  dc  2b  c5  ,12:53:02,2025-03-05
202462021,8d  f9  05  c5  ,12:53:09,2025-03-05
202411063,3d  89  47  c4  ,12:53:16,2025-03-05
202111196,83  9e  64  b5  ,12:53:23,2025-03-05
202311078,8b  67  eb  4d  ,12:53:43,2025-03-05
202311058,f6  dc  32  04  ,12:53:49,2025-03-05
202411137,fd  10  f6  c4  ,12:54:20,2025-03-05
202411172,3d  6c  25  c5  ,12:54:38,2025-03-05
202411125,1d  ff  2c  c5  ,12:54:47,2025-03-05
202111068,73  0b  68  b5  ,12:54:58,2025-03-05
202111066,9c  41  50  75  ,12:55:07,2025-03-05
202011115,27  86  cb  5c  ,12:55:29,2025-03-05
202011115,27  86  cb  5c  ,12:55:30,2025-03-05
202311031,17  a6  cb  5c  ,12:55:35,2025-03-05
202111015,83  7e  61  b5  ,12:55:59,2025-03-05
202411159,4d  ed  11  c5  ,12:56:07,2025-03-05
202011087,9c  81  51  75  ,12:56:18,2025-03-05
202462029,dc  f8  33  75  ,12:56:23,2025-03-05
202411067,8d  d1  06  c5  ,12:57:25,2025-03-05
202411070,9c  e1  94  75  ,12:57:49,2025-03-05
202411145,8d  15  20  c5  ,12:58:01,2025-03-05
202462007,bd  80  29  c6  ,12:58:09,2025-03-05
202462012,2d  1f  fd  c4  ,12:58:18,2025-03-05
202462008,ad  2d  f4  c4  ,12:58:24,2025-03-05
202411080,6d  43  23  c5  ,12:58:28,2025-03-05
202011147,a2  e2  a6  e5  ,12:58:34,2025-03-05
202311039,27  1a  8b  5c  ,12:58:41,2025-03-05
202411109,ed  e2  4a  c4  ,12:58:47,2025-03-05
202411035,bd  7f  2d  c5  ,12:58:55,2025-03-05
202411040,2d  d6  1c  c5  ,12:59:07,2025-03-05
202411040,2d  d6  1c  c5  ,12:59:09,2025-03-05
202211193,06  d9  33  04  ,12:59:15,2025-03-05
202411026,cd  7d  33  c5  ,12:59:21,2025-03-05
201811006,a2  b6  af  e5  ,12:59:26,2025-03-05
202462018,9d  c8  2c  c5  ,12:59:32,2025-03-05
202411083,7d  3e  f7  c4  ,12:59:39,2025-03-05
202311191,cb  08  8b  4e  ,12:59:43,2025-03-05
202411076,ed  e1  26  c5  ,12:59:48,2025-03-05
202311215,a7  2c  ad  5c  ,13:00:00,2025-03-05
202411058,bd  ce  02  c5  ,13:00:46,2025-03-05
202411058,bd  ce  02  c5  ,13:00:49,2025-03-05
202411024,9d  e4  04  c5  ,13:00:55,2025-03-05
202411077,4d  46  2e  c4  ,13:01:01,2025-03-05
202111155,fc  cd  70  75  ,13:01:11,2025-03-05
202462023,5c  e0  55  75  ,13:01:17,2025-03-05
202411130,1d  57  24  c5  ,13:01:24,2025-03-05
202011158,f2  5d  b0  e5  ,13:18:13,2025-03-05
